Reportedarrest060708.csv
UNITID_P,INSTNM,BRANCH,Address,City,State,Zip,sector_cd,sector_desc,men_total,women_total,Total,Weapon6,Drug6,Liquor6,Weapon7,Drug7,Liquor7,Weapon8,Drug8,Liquor8,FILTER06,FILTER07,FILTER08
10114301.0,Enterprise-Ozark Community College,Main Campus,600 PLAZA DR,ENTERPRISE,AL,363301300.0,4.0,Public, 2-year,1295.0,1092.0,2387.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0,1.0
10116101.0,James H Faulkner State Community College,Main Campus,1900 US HWY 31 S,Bay Minette,AL,365072698.0,4.0,Public, 2-year,1385.0,2342.0,3727.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0,1.0
10118901.0,Faulkner University,Main Campus,5345 ATLANTA HWY,MONTGOMERY,AL,361093378.0,2.0,Private nonprofit, 4-year or above,1303.0,1800.0,3103.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0,1.0
10118902.0,Faulkner University,FAULKNER UNIVERSITY-BIRMINGHAM,2200 RIVERCHASE CENTER,BIRMINGHAM,AL,352444506.0,2.0,Private nonprofit, 4-year or above,1303.0,1800.0,3103.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0,1.0
10118903.0,Faulkner University,FAULKNER UNIVERSITY-HUNTSVILLE,420 WYNN DR,HUNTSVILLE,AL,358051963.0,2.0,Private nonprofit, 4-year or above,1303.0,1800.0,3103.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0,1.0
10118904.0,Faulkner University,FAULKNER UNIVERSITY-MOBILE,3943 Airport Boulevard,MOBILE,AL,366084112.0,2.0,Private nonprofit, 4-year or above,1303.0,1800.0,3103.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0,1.0
10124001.0,Gadsden State Community College,Gadsden State Community College,1001 GEORGE WALLACE DR,GADSDEN,AL,359020227.0,4.0,Public, 2-year,2268.0,3535.0,5803.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0,1.0
10128601.0,George C Wallace Community College-Dothan,Wallace Campus,1141 Wallace Drive,DOTHAN,AL,363039234.0,4.0,Public, 2-year,1320.0,2636.0,3956.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0,1.0
10128602.0,George C Wallace Community College-Dothan,Ft. Rucker Center,Building 4502 Kingsman Street,Fort Rucker,AL,36362.0,4.0,Public, 2-year,1320.0,2636.0,3956.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0,1.0
10128604.0,George C Wallace Community College-Dothan,Sparks Campus,3235 South Eufaula Ave.,Eufaula,AL,36027.0,4.0,Public, 2-year,1320.0,2636.0,3956.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0,1.0
10129501.0,George C Wallace State Community College-Hanceville,Main Campus,801 MAIN ST NW,HANCEVILLE,AL,350772000.0,4.0,Public, 2-year,1946.0,3601.0,5547.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0,1.0
10130101.0,George C Wallace State Community College-Selma,Main Campus,3000 EARL GOODWIN PARKWAY,SELMA,AL,367032808.0,4.0,Public, 2-year,544.0,1352.0,1896.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0,1.0
10136501.0,Herzing College,Main Campus,280 WEST VALLEY AVENUE,BIRMINGHAM,AL,35209.0,3.0,Private for-profit, 4-year or above,87.0,206.0,293.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0,1.0
10143501.0,Huntingdon College,Main Campus,1500 East Fairview Avenue,Montgomery,AL,361062148.0,2.0,Private nonprofit, 4-year or above,529.0,553.0,1082.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0,1.0
10145301.0,Heritage Christian University,Main Campus,3625 HELTON DR,FLORENCE,AL,35630.0,2.0,Private nonprofit, 4-year or above,83.0,5.0,88.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0,1.0
10146201.0,J F Drake State Technical College,Main Campus,3421 MERIDIAN ST N,HUNTSVILLE,AL,358111544.0,4.0,Public, 2-year,362.0,394.0,756.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0,1.0
10148001.0,Jacksonville State University,Main Campus,700 Pelham Road North,Jacksonville,AL,36265.0,1.0,Public, 4-year or above,3977.0,5504.0,9481.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0,1.0
10149901.0,Jefferson Davis Community College,Main Campus,220 ALCO DR,BREWTON,AL,36426.0,4.0,Public, 2-year,535.0,699.0,1234.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0,1.0
10150501.0,Jefferson State Community College,Jefferson,2601 CARSON RD,BIRMINGHAM,AL,352153098.0,4.0,Public, 2-year,3255.0,5043.0,8298.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0,1.0
10151401.0,John C Calhoun State Community College,Main Campus,HWY 31 N,DECATUR,AL,356092216.0,4.0,Public, 2-year,4206.0,5488.0,9694.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0,1.0
10154101.0,Judson College,Main Campus,302 BIBB ST,MARION,AL,36756.0,2.0,Private nonprofit, 4-year or above,12.0,312.0,324.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0,1.0
10156901.0,Lawson State Community College-Birmingham Campus,Lawson State Community College,3060 WILSON RD SW,BIRMINGHAM,AL,352211717.0,4.0,Public, 2-year,1276.0,2333.0,3609.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0,1.0
10156902.0,Lawson State Community College-Birmingham Campus,Bessemer Campus,1100 9th Ave,Bessemer,AL,35022.0,4.0,Public, 2-year,1276.0,2333.0,3609.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0,1.0
10158701.0,University of West Alabama,Main Campus,STATION ONE,LIVINGSTON,AL,35470.0,1.0,Public, 4-year or above,1186.0,3702.0,4888.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0,1.0
10160201.0,Lurleen B Wallace Community College,Main Campus,1000 Dannelly Blvd.,ANDALUSIA,AL,364201418.0,4.0,Public, 2-year,597.0,1100.0,1697.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0,1.0
10160202.0,Lurleen B Wallace Community College,Lurleen B. Wallace Community College-MacArthur Cam,1708 N. Main Street,Opp,AL,36467.0,4.0,Public, 2-year,597.0,1100.0,1697.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0,1.0
10160203.0,Lurleen B Wallace Community College,Lurleen B. Wallace Community College-Greenville Ca,750 Greenville Bypass,Greenville,AL,36037.0,4.0,Public, 2-year,597.0,1100.0,1697.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0,1.0
10164801.0,Marion Military Institute,Main Campus,1101 Washington St.,Marion,AL,36756.0,4.0,Public, 2-year,331.0,122.0,453.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0,1.0
10167501.0,Miles College,Main Campus,5500 MYRON MASSEY BLVD,FAIRFIELD,AL,35064.0,2.0,Private nonprofit, 4-year or above,826.0,960.0,1786.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0,1.0
10169301.0,University of Mobile,University of Mobile,5735 College Parkway,MOBILE,AL,366132842.0,2.0,Private nonprofit, 4-year or above,522.0,1078.0,1600.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0,1.0
10170901.0,University of Montevallo,University of Montevallo,STATION 6001,MONTEVALLO,AL,35115.0,1.0,Public, 4-year or above,940.0,2083.0,3023.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0,1.0
10173601.0,Northwest Shoals Community College-Muscle Shoals,Main Campus,800 GEORGE WALLACE BLVD,MUSCLE SHOALS,AL,35661.0,4.0,Public, 2-year,1669.0,2372.0,4041.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0,1.0
10173602.0,Northwest Shoals Community College-Muscle Shoals,Phil Campbell Campus,2080 College Road,Phil Campbell,AL,35581.0,4.0,Public, 2-year,1669.0,2372.0,4041.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0,1.0
10187901.0,University of North Alabama,Main Campus,1 Harrison Plaza- UNA Box 5067,FLORENCE,AL,356320001.0,1.0,Public, 4-year or above,3206.0,3997.0,7203.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0,1.0
10187902.0,University of North Alabama,East Campus,1640 tune av.,florence,AL,35630.0,1.0,Public, 4-year or above,3206.0,3997.0,7203.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0,1.0
10189701.0,Northeast Alabama Community College,Northeast Alabama Community College,P.O. Box 159  / 138 Alabama Hwy 35,Rainsville,AL,35986.0,4.0,Public, 2-year,1004.0,1793.0,2797.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0,1.0
10191201.0,Oakwood University,Main Campus,7000 ADVENTIST BLVD NW,HUNTSVILLE,AL,358960003.0,2.0,Private nonprofit, 4-year or above,768.0,1097.0,1865.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0,1.0
10194901.0,Alabama Southern Community College,Main Campus,P.O. Box 2000,MONROEVILLE,AL,364612000.0,4.0,Public, 2-year,483.0,833.0,1316.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0,1.0
10194902.0,Alabama Southern Community College,THOMASVILLE CAMPUS,30755 Hwy 43 South,Thomasville,AL,367842000.0,4.0,Public, 2-year,483.0,833.0,1316.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0,1.0
10194903.0,Alabama Southern Community College,GILBERTOWN CAMPUS,251 College Street,Gilbertown,AL,36908.0,4.0,Public, 2-year,483.0,833.0,1316.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0,1.0
10194904.0,Alabama Southern Community College,JACKSON CAMPUS,235 College Avenue,Jackson,AL,36545.0,4.0,Public, 2-year,483.0,833.0,1316.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0,1.0
10194905.0,Alabama Southern Community College,Demopolis Campus,186 Field of Dreams Drive,Demopolis,AL,36732.0,4.0,Public, 2-year,483.0,833.0,1316.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0,1.0
10195801.0,Prince Institute of Professional Studies Inc,Main Campus,7735 ATLANTA HWY,MONTGOMERY,AL,361174231.0,6.0,Private for-profit, 2-year,4.0,72.0,76.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0,1.0
10199401.0,Reid State Technical College,Main Campus,I65 AND HWY 83,EVERGREEN,AL,36401.0,4.0,Public, 2-year,259.0,351.0,610.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0,1.0
10203001.0,Bishop State Community College,Main Campus,351 NORTH BROAD STREET,MOBILE,AL,366035898.0,4.0,Public, 2-year,1054.0,2161.0,3215.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0,1.0
10204901.0,Samford University,Main Campus,800 LAKESHORE DR,BIRMINGHAM,AL,352292240.0,2.0,Private nonprofit, 4-year or above,1766.0,2703.0,4469.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0,1.0
10205801.0,Selma University,Selma University,1501 Lapsley St, Dinkins Hall,Selma,AL,36701.0,2.0,Private nonprofit, 4-year or above,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0
10206701.0,Shelton State Community College,Main Campus,9500 OLD GREENSBORO RD,TUSCALOOSA,AL,35405.0,4.0,Public, 2-year,2547.0,2964.0,5511.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0,1.0
10206702.0,Shelton State Community College,C. A. Fredd Campus,3401 MARTIN LUTHER KING BLVD,TUSCALOOSA,AL,354013541.0,4.0,Public, 2-year,2547.0,2964.0,5511.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0,1.0
10207601.0,Snead State Community College,Main Campus,P.O. Box 734,BOAZ,AL,359570734.0,4.0,Public, 2-year,791.0,1458.0,2249.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0,1.0
10209401.0,University of South Alabama,Main Campus,307 N UNIVERSITY BLVD,MOBILE,AL,366880002.0,1.0,Public, 4-year or above,5407.0,8657.0,14064.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0,1.0
10209405.0,University of South Alabama,USA Springhill Ave. Campus,1504 Springhill Ave,Mobile,AL,36604.0,1.0,Public, 4-year or above,5407.0,8657.0,14064.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0,1.0
10209406.0,University of South Alabama,USA Brookley,254 Old Bay Front Rd.,Mobile,AL,36615.0,1.0,Public, 4-year or above,5407.0,8657.0,14064.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0,1.0
10209411.0,University of South Alabama,USA Fairhope,10 N. Summit St.,Fairhope,AL,36532.0,1.0,Public, 4-year or above,5407.0,8657.0,14064.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0
10223401.0,Spring Hill College,Spring Hill College,4000 DAUPHIN ST,MOBILE,AL,366081791.0,2.0,Private nonprofit, 4-year or above,541.0,993.0,1534.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0,1.0
10226101.0,Southeastern Bible College,Main Campus,2545 Valleydale Road,BIRMINGHAM,AL,352442083.0,2.0,Private nonprofit, 4-year or above,129.0,71.0,200.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0,1.0
10227001.0,Stillman College,Main Campus,3601 Stillman Boulevard,TUSCALOOSA,AL,35401.0,2.0,Private nonprofit, 4-year or above,482.0,566.0,1048.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0,1.0
10229801.0,Talladega College,Main Campus,627 W BATTLE ST,TALLADEGA,AL,35160.0,2.0,Private nonprofit, 4-year or above,252.0,349.0,601.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0,1.0
10231301.0,H Councill Trenholm State Technical College,Main Campus - Trenholm Campus,1225 AIR BASE BLVD,MONTGOMERY,AL,361083199.0,4.0,Public, 2-year,686.0,672.0,1358.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0,1.0
10236801.0,Troy University,Troy Campus,University Avenue,TROY,AL,360820001.0,1.0,Public, 4-year or above,11039.0,17264.0,28303.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0,1.0
10236802.0,Troy University,Phenix City Campus,1 University Place,Phenix City,AL,36869.0,1.0,Public, 4-year or above,11039.0,17264.0,28303.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0,1.0
10236803.0,Troy University,Montgomery Campus,231 Montgomery Street,Montgomery,AL,361034419.0,1.0,Public, 4-year or above,11039.0,17264.0,28303.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0,1.0
10236804.0,Troy University,Dothan Campus,501 University Drive,Dothan,AL,363040368.0,1.0,Public, 4-year or above,11039.0,17264.0,28303.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0,1.0
10236805.0,Troy University,Atlantic Region,5425 Robin Hood Road, Suite B1,Norfolk,VA,23513.0,1.0,Public, 4-year or above,11039.0,17264.0,28303.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0,1.0
10236806.0,Troy University,Florida Region,81 Beal Parkway, S. E.,Ft Walton Beach,FL,32548.0,1.0,Public, 4-year or above,11039.0,17264.0,28303.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0,1.0
10236807.0,Troy University,Southeast Region,506 Manchester Expressway, St. B20,Columbus,GA,31914.0,1.0,Public, 4-year or above,11039.0,17264.0,28303.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0,1.0
10236808.0,Troy University,Western Region,5825 Delmonico Drive, Suite 120,Colorado Springs,CO,80919.0,1.0,Public, 4-year or above,11039.0,17264.0,28303.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0,1.0
10237701.0,Tuskegee University,Main Campus,Kresge Center, 3rd Floor,Tuskegee,AL,360881920.0,2.0,Private nonprofit, 4-year or above,1265.0,1729.0,2994.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0,1.0
10239501.0,United States Sports Academy,Main Campus,ONE ACADEMY DR,DAPHNE,AL,365267055.0,2.0,Private nonprofit, 4-year or above,375.0,171.0,546.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0,1.0
10242901.0,Bevill State Community College,Main Campus,100 STATE ST,SUMITON,AL,35148.0,4.0,Public, 2-year,1462.0,2672.0,4134.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0,1.0
10255301.0,University of Alaska Anchorage,Anchorage Campus,3211 PROVIDENCE DR,ANCHORAGE,AK,99508.0,1.0,Public, 4-year or above,6676.0,9973.0,16649.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0,1.0
10255302.0,University of Alaska Anchorage,Matanuska-Susitna,Mile 2 Trunk Road,Palmer,AK,99645.0,1.0,Public, 4-year or above,6676.0,9973.0,16649.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0,1.0
10255303.0,University of Alaska Anchorage,Kenai River Campus,156 College Road,Soldotna,AK,99669.0,1.0,Public, 4-year or above,6676.0,9973.0,16649.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0,1.0
10255304.0,University of Alaska Anchorage,Kachemak Bay Campus,533 E. Pioneer Avenue,Homer,AK,996037624.0,1.0,Public, 4-year or above,6676.0,9973.0,16649.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0,1.0
10255305.0,University of Alaska Anchorage,Kodiak College,117 Benny Benson Drive,Kodiak,AK,99615.0,1.0,Public, 4-year or above,6676.0,9973.0,16649.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0,1.0
10261401.0,University of Alaska Fairbanks,University of Alaska Fairbanks,P.O. Box 757480,FAIRBANKS,AK,997757480.0,1.0,Public, 4-year or above,3492.0,5083.0,8575.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0,1.0
10261402.0,University of Alaska Fairbanks,Kuskokwim rural campus,201 Akiak Drive,Bethel,AK,995590368.0,1.0,Public, 4-year or above,3492.0,5083.0,8575.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0,1.0
10261403.0,University of Alaska Fairbanks,Northwest rural campus,Pouch 400,Nome,AK,99762.0,1.0,Public, 4-year or above,3492.0,5083.0,8575.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0,1.0
10261404.0,University of Alaska Fairbanks,Bristol Bay rural campus,Box 1070,Dillingham,AK,99576.0,1.0,Public, 4-year or above,3492.0,5083.0,8575.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0,1.0
10261405.0,University of Alaska Fairbanks,Chukchi rural campus,Box 297,Kotzebue,AK,99752.0,1.0,Public, 4-year or above,3492.0,5083.0,8575.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0,1.0
10261406.0,University of Alaska Fairbanks,Interior- Aleutians campus,P.O. Box 756720,Fairbanks,AK,997756720.0,1.0,Public, 4-year or above,3492.0,5083.0,8575.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0,1.0
10261407.0,University of Alaska Fairbanks,Tanana Valley campus,604 Barnette Street,Fairbanks,AK,99701.0,1.0,Public, 4-year or above,3492.0,5083.0,8575.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0,1.0
10263201.0,University of Alaska Southeast,Main Campus,11120 GLACIER HWY,JUNEAU,AK,99801.0,1.0,Public, 4-year or above,995.0,1959.0,2954.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0,1.0
10263202.0,University of Alaska Southeast,University of Alaska Southeast - Ketchikan,2600 7th Ave,Ketchikan,AK,99901.0,1.0,Public, 4-year or above,995.0,1959.0,2954.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0
10263203.0,University of Alaska Southeast,University of Alaska Southeast - Sitka,1332 Seward St,Sitka,AK,99835.0,1.0,Public, 4-year or above,995.0,1959.0,2954.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0
10266901.0,Alaska Pacific University,Main Campus,4101 UNIVERSITY DR,ANCHORAGE,AK,99508.0,2.0,Private nonprofit, 4-year or above,264.0,539.0,803.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0,1.0
10271101.0,Alaska Vocational Technical Center,Residence Life Campus,516 3rd Avenue,SEWARD,AK,996640889.0,7.0,Public, less-than 2-year,554.0,203.0,757.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0,1.0
10284501.0,Charter College,Main Campus,2221 E NORTHERN LIGHTS BLVD STE 120,ANCHORAGE,AK,99508.0,3.0,Private for-profit, 4-year or above,214.0,533.0,747.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0,1.0
10336101.0,Prince William Sound Community College,Main Campus,303 LOWE ST,VALDEZ,AK,99686.0,4.0,Public, 2-year,359.0,379.0,738.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0,1.0
10350101.0,Career Academy,Main Campus,1415 E TUDOR ROAD,ANCHORAGE,AK,995071033.0,9.0,Private for-profit, less-than 2-year,44.0,295.0,339.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0,1.0
10364401.0,Everest College-Phoenix,Phoenix Campus,10400 North 25th Avenue, Suite 190,PHOENIX,AZ,85021.0,3.0,Private for-profit, 4-year or above,669.0,2681.0,3350.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0,1.0
