Noncampuscrime060708[3,4,5,6].csv
423 E Main St,Barstow,CA,92311.0
2700 BARSTOW RD,BARSTOW,CA,923116608.0
1520 PLAZA BLVD,NATIONAL CITY,CA,91950.0
800 BETHANY DR,SCOTTS VALLEY,CA,95066.0
730 N. Euclid St.,Anaheim,CA,92801.0
13800 BIOLA AVE,LA MIRADA,CA,906390001.0
3560 Grand Ave.,Chino Hills,CA,91709.0
Faithful Central Bible Church 333 W. Florence Ave.,Inglewood,CA,30901.0
625 W. Hillcrest Dr.,Thousand Oaks,CA,91360.0
1800 Thibodo RD,Vista,CA,92081.0
1911 Commerce Center East,San Bernandino,CA,92408.0
24422 Avenida de la Carlota,Laguna Hills,CA,92653.0
4825 E PACIFIC CST HWY,LONG BEACH,CA,908046906.0
27 East Cota Street,SANTA BARBARA,CA,93101.0
5301 Ventura Avenue,Ventura,CA,93001.0
1110 TECHNOLOGY CIR STE D,ANAHEIM,CA,92805.0
3580 Wilshire Blvd suite 400,LOS ANGELES,CA,90010.0
3536 Butte Campus Drive,Oroville,CA,959658399.0
5445 BALBOA BLVD,ENCINO,CA,913161509.0
1453 MISSION ST,SAN FRANCISCO,CA,94103.0
695 Minna Street,San Francisco,CA,94103.0
1390 Market Street,Suite 11,San Francisco,CA
6500 SOQUEL DR,APTOS,CA,95003.0
318 Union St.,Watsonville,CA,95076.0
104 Whispering Pines Dr.,Scotts Valley,CA,95066.0
8432 MAGNOLIA AVE,RIVERSIDE,CA,925043297.0
San Bernardino Site,225 west hospitality lane,suite 108,San Bernardino
Hesperia Site,9280 Maple Avenue,Hesperia,CA
Beaumont site,10420 Beaumont Avenue,Cherry Valley,CA
5212 BROADWAY,OAKLAND,CA,946181487.0
1111 8th Street,San Francisco,CA,94107.0
200 McALLISTER ST.,SAN FRANCISCO,CA,941024707.0
1200 E CALIFORNIA BLVD,PASADENA,CA,91125.0
60 W OLSEN RD,THOUSAND OAKS,CA,913602787.0
2201 Outlet Center Drive,Suite 600,Oxnard,CA
1 Grand Avenue,SAN LUIS OBISPO,CA,93407.0
10455 POMERADO ROAD,SAN DIEGO,CA,921311799.0
5130 E. Clinton Way,Fresno,CA,93727.0
1000 South Fremont Ave,Unit 5,Alhambra,CA
One Beach Street,Suite 200,San Francisco,CA
2500 Michelson Dr. Suite 250,Irviine,CA,926121548.0
2090 W. El Camino Ave,Suite 200,Sacramento,CA
9001 STOCKDALE HWY,BAKERSFIELD,CA,933111022.0
One University Circle,TURLOCK,CA,95382.0
510 E. Magnolia,Stockton,CA,Stockton
San Bernardino,5500 University Pkwy.,San Bernardino,CA
37-500 Cook St,Palm Desert,CA,92211.0
3801 W TEMPLE AVE,POMONA,CA,91768.0
400 W. 1st  St,Chico,CA,959290150.0
1000 E VICTORIA ST,CARSON,CA,907470005.0
5200 N BARTON AVE,FRESNO,CA,93740.0
800 N STATE COLLEGE BLVD,FULLERTON,CA,928349480.0
12901 EUCLID ST,GARDEN GROVE,CA,92840.0
125 N. BROADWAY STE. A,SANTA ANA,CA,92701.0
7320 Trabucco Road,Irvine,CA,92709.0
25800 CARLOS BEE BLVD,HAYWARD,CA,94542.0
4700 Ygnacio Valley Rd,Concord,CA,94521.0
1250 BELLFLOWER BLVD,LONG BEACH,CA,908400115.0
5151 STATE UNIVERSITY DR,LOS ANGELES,CA,90032.0
Northridge,18111 NORDHOFF ST,NORTHRIDGE,CA
6000 J Street,Sacramento,CA,958192694.0
Rm. 1 Sproul Hall,Berkeley,CA,947201199.0
1608 Rhode Island Avenue,NW Washington,DC,20036.0
One Shields Avenue,DAVIS,CA,956168678.0
2315 Stockton Blvd.,Sacramento,CA,95817.0
University of California,Irvine,IRVINE,CA
101 The City Drive,Orange,CA,92868.0
405 HILGARD AVE,LOS ANGELES,CA,900951364.0
900 UNIVERSITY AVE,RIVERSIDE,CA,92521.0
9500 GILMAN DR (0005),LA JOLLA,CA,920930005.0
500 PARNASSUS AVE,SAN FRANCISCO,CA,94143.0
1209 Public Safety Building,SANTA BARBARA,CA,931061010.0
1156 HIGH ST,SANTA CRUZ,CA,95064.0
1069 E. Meadow Circle,PALO ALTO,CA,94303.0
1115 15TH ST,MODESTO,CA,95354.0
4881 E UNIVERSITY AVE,FRESNO,CA,937033599.0
2820 CAMINO DEL RIO SOUTH,SUITE 300,SAN DIEGO,CA
350 Rhode Island Street,Suite 300,San Francisco,CA
Inc.,8011 UNIVERSITY AVENUE,SUITE A-2,LA MESA
24700 W MCBEAN PKY,VALENCIA,CA,913552397.0
200 Maritime Academy Drive,Vallejo,CA,945908181.0
225 CEDAR ST,SAN DIEGO,CA,92101.0
4200 FARM HILL BLVD,REDWOOD CITY,CA,940611099.0
26455 ROCKWELL CANYON RD,Valencia,CA,913551899.0
12471 VALLEY VIEW,WEST GARDEN GROVE,CA,928450000.0
6725 Kester Ave,VAN NUYS,CA,91405.0
12540 S. Crenshaw Blvd.,Hawthorne,CA,90250.0
3295 MARKET ST,SAN DIEGO,CA,92102.0
701 VINE ST,SAN JOSE,CA,95110.0
294 S 3RD ST,EL CENTRO,CA,92243.0
1430 Cooley Court,San Bernardino,CA,924082830.0
10 BLANCA LANE,WATSONVILLE,CA,95076.0
7800 ARROYO CIR,SUITE C,GILROY,CA
421 MONTEREY ST,SALINAS,CA,93901.0
930 Los Coches Drive,Ste. 102,Soledad,CA
11110 ALONDRA BLVD,NORWALK,CA,906506298.0
3000 COLLEGE HTS BLVD,RIDGECREST,CA,935557777.0
5520 Lake Isabella Blvd.,Lake Isabella,CA,93240.0
4090 w. Line St,Bishop,CA,93514.0
101 College Parkway,Mammoth Lakes,CA,93546.0
140 Methusa Ave,Edwards AFB,CA,935241400.0
25555 HESPERIAN BLVD,HAYWARD,CA,945454918.0
5885 HAVEN AVE,RANCHO CUCAMONGA,CA,917373002.0
One University Dr.,ORANGE,CA,928661011.0
1731 E 120TH ST,LOS ANGELES,CA,90059.0
1530 Concordia West,Irvine,CA,926123299.0
28780 Single Oak Drive Suite 120,Temecula,CA,92590.0
2100 GREENFIELD DR,EL CAJON,CA,92019.0
2451 RIDGE RD,BERKELEY,CA,947091211.0
1000 W Foothill Blvd.,Glendora,CA,917411899.0
50 PHELAN AVE,SAN FRANCISCO,CA,941121898.0
150 E TENTH ST,CLAREMONT,CA,917116160.0
500 E 9TH ST,CLAREMONT,CA,917116400.0
3356 South Fairway,Visalia,CA,93277.0
CA,2822 F Street,Bakersfield,CA
590 N VERMONT AVE,LOS ANGELES,CA,900042196.0
1452 DAVID E COOK WAY,CLOVIS,CA,936110575.0
11460 Warner Avenue,Fountain Valley,CA,927082597.0
12901 Euclid Street,Garden Grove,CA,92840.0
2990 Mesa Verde Drive East,Costa Mesa,CA,92626.0
14120 All American Way,Westminster,CA,92683.0
1175 BORDEAUX DR,SUNNYVALE,CA,94089.0
8888 Balboa Ave.,San Diego,CA,921231506.0
102 N GLASSELL ST,ORANGE,CA,92866.0
272 S FRIES AVE LOS ANGELES HARBOR /  Berth 183 Pier A Street,WILMINGTON,CA,907446399.0
3580 Aero Court,San Diego,CA,92123.0
10 Sand Island Parkway,Honolulu,HI,96819.0
309 E 2ND ST,POMONA,CA,917661854.0
11600 COLUMBIA COLLEGE DR,SONORA,CA,95370.0
18618 OXNARD ST,TARZANA,CA,91356.0
1111 East Artesia Blvd.,Compton,CA,902215393.0
8700 Van Nuys Blvd,Panorama City,CA,91402.0
2600 MISSION BELL DR,SAN PABLO,CA,94806.0
8401 CENTER PKY,SACRAMENTO,CA,958235799.0
11711 SAND CANYON RD,YUCAIPA,CA,923991799.0
HIGHWAY 1,SAN LUIS OBISPO,CA,934038106.0
2800 Bueana Vista,Paso Robles,CA,93446.0
495 Valley Road,Arroyo Grande,CA,93420.0
